,index,RED,WHITE,TOTAL,PERCENT,YEAR
77,2,26368.0,20160.100000000002,46528.100000000006,1.1542150028923532,2016
78,3,130589.29999999999,95852.29999999997,226441.59999999998,5.617299911213848,2016
79,4,110441.6,42603.600000000006,153045.2,3.796567363822309,2016
80,5,9857.300000000003,11424.000000000002,21281.300000000003,0.5279217449466675,2016
81,6,20975.500000000004,9589.000000000002,30564.500000000007,0.7582085762346482,2016
82,7,136332.59999999995,132355.0,268687.6,6.665289556443082,2016
83,8,164613.80000000002,59970.40000000001,224584.2,5.571223691759965,2016
84,9,31691.6,30998.299999999992,62689.899999999994,1.5551381446872174,2016
85,1,33763.500000000015,23724.5,57488.000000000015,1.5518128214863236,2015
86,10,15629.599999999999,1461.3,17090.899999999998,0.46134632881193643,2015
87,11,444176.6,226398.40000000002,670575.0,18.101288664907305,2015
88,12,176659.1,189971.09999999998,366630.19999999995,9.896699225996642,2015
89,13,727117.4,647360.3,1374477.7000000002,37.10221468318662,2015
90,14,147467.90000000002,145281.69999999998,292749.6,7.902389764211532,2015
91,15,337.40000000000003,31.5,368.90000000000003,0.0099579694866112,2015
92,16,2858.0,1230.3999999999999,4088.3999999999996,0.1103609716699952,2015
93,17,37425.700000000004,97018.69999999998,134444.4,3.6291494520079985,2015
94,2,23221.499999999996,15565.300000000001,38786.799999999996,1.0469985656906784,2015
95,3,101534.30000000003,80535.10000000002,182069.40000000005,4.914723582666332,2015
96,4,89562.10000000005,34563.399999999994,124125.50000000004,3.3506043413129816,2015
97,5,7657.599999999999,10271.500000000004,17929.100000000002,0.4839724335115232,2015
98,6,15033.4,7552.0,22585.4,0.6096631174922976,2015
99,7,87651.00000000001,110633.3,198284.30000000002,5.352423445578914,2015
100,8,103988.40000000002,46128.999999999985,150117.40000000002,4.052221438355675,2015
101,9,26697.1,26062.399999999994,52759.49999999999,1.4241731936266293,2015
102,1,34760.700000000004,27199.3,61960.0,1.5916579041138115,2014
103,10,16847.9,3336.4,20184.300000000003,0.518503883699232,2014
104,11,449619.8999999999,224556.69999999992,674176.5999999999,17.318568659757506,2014
105,12,161981.30000000005,175044.49999999997,337025.80000000005,8.657678800198203,2014
106,13,648572.2000000001,580909.5999999997,1229481.7999999998,31.583512345611297,2014
107,14,145511.6,170279.1,315790.7,8.112181467085756,2014
108,15,293.7,47.800000000000004,341.5,0.008772614174545942,2014
109,16,3458.7999999999997,1387.3999999999999,4846.2,0.12449148700639692,2014
110,17,37312.1,103404.8,140716.9,3.614802552088328,2014
111,2,22205.999999999993,16467.2,38673.2,0.9934555270718891,2014
112,3,144021.5,111613.90000000004,255635.40000000002,6.566883553603872,2014
113,4,123494.5,52112.8,175607.3,4.511083716350635,2014
114,5,10215.5,13057.500000000002,23273.0,0.597847876088456,2014
115,6,17944.699999999997,10230.400000000001,28175.1,0.7237753488411403,2014
116,7,147441.0000000001,171049.80000000002,318490.8000000001,8.181542918133172,2014
117,8,146750.09999999995,66337.10000000002,213087.19999999995,5.473885186337645,2014
118,9,27862.199999999997,27468.299999999996,55330.49999999999,1.421356159838109,2014
119,1,41565.700000000004,36355.00000000001,77920.70000000001,1.8356349708689796,2013
